"year","FI_median","IC_NE_median","NO_MI_median","NO_NO_median","NO_SE_median","NO_SW_median","RU_AK_median","RU_KB_median","RU_KW_median","RU_RP_median","SW_median","FI_q5","IC_NE_q5","NO_MI_q5","NO_NO_q5","NO_SE_q5","NO_SW_q5","RU_AK_q5","RU_KB_q5","RU_KW_q5","RU_RP_q5","SW_q5","FI_q95","IC_NE_q95","NO_MI_q95","NO_NO_q95","NO_SE_q95","NO_SW_q95","RU_AK_q95","RU_KB_q95","RU_KW_q95","RU_RP_q95","SW_q95"
1981,-0.667868978471754,-0.370149486597685,-0.345508347113312,0.182404119931866,-0.471035489986047,-0.74977295840734,-5.26628200417647,-0.583151687087796,0.75633958496852,-5.15258734686065,1.12685834505492,-0.947647552405037,-0.563447540541931,-0.548301211305044,-0.0146422483358073,-0.71030047613441,-0.961502573730132,-5.62905425486931,-0.766626208652668,0.541757684351333,-5.45050940702928,0.81795349949904,-0.387017918578245,-0.17369934074451,-0.127572715475229,0.386031791422307,-0.226826346942839,-0.525534299645697,-4.89648507801877,-0.401416838205178,0.968391899901191,-4.84591414504143,1.42915034916979
1982,-1.0154490573651,-0.580029794527318,-0.466335520737267,0.109155353684154,-0.564692413046333,-0.867936608039019,-5.49889998966683,-0.92970105186382,0.3746309539464,-6.09381219340897,1.4439687961985,-1.31222293426024,-0.787614237672086,-0.687173961960698,-0.0976746600989176,-0.800757100061006,-1.08946610829054,-5.85176705655609,-1.12224195658335,0.157471561788484,-6.39102672617086,1.11191168505422,-0.726578684552262,-0.373284338538774,-0.238202158539595,0.332553698787818,-0.320290652775925,-0.631345781901953,-5.15344814421015,-0.739915816838738,0.588688753335381,-5.80090649881057,1.77011236849161
1983,-0.507536517451898,-0.409202057731068,-0.00414453800018398,0.29766963692476,-0.618126669129708,-0.40779609969072,-5.70752834911631,-0.665918805135647,0.94222460983752,-3.63373469095399,1.56256900000782,-0.791808707299519,-0.607561040727427,-0.20703929085681,0.0997996909105062,-0.853701921254964,-0.606775556089032,-6.0555710614286,-0.848893328809129,0.734930740532583,-3.93907211696039,1.23697853447199,-0.221971001789312,-0.216963191017881,0.203689640080503,0.491773875628419,-0.393039642817127,-0.19746602845967,-5.34381626806006,-0.47805024071077,1.15137072917316,-3.33005813155852,1.88521563689584
1984,-0.18046376833362,-0.785954584410924,-0.0468712779197106,0.572404050327675,-0.563107931001313,-0.551897278720673,-6.28912095993537,-0.207248434352462,1.09069186488076,-3.12325220701379,2.62492005731381,-0.478095365498962,-0.997396064064636,-0.263376964808243,0.386017715102093,-0.792162646855265,-0.761613869875083,-6.65205925658096,-0.393810966297559,0.880110983050699,-3.41064087019635,2.30231094229994,0.106389189008709,-0.576359112191188,0.172063667299531,0.766818332632008,-0.332815691413111,-0.331557167510831,-5.9232085515143,-0.0194744026517283,1.29921954665999,-2.83251350442427,2.9552845974459
1985,0.0913500536432839,-0.199075863382921,-0.0564208441705472,0.403844969002795,-0.246137954010588,-0.524366236087649,-3.84522551691374,0.0728794324595863,1.42763981594757,-2.8180501107524,3.03333188262328,-0.218026748864863,-0.404309668494208,-0.272667012064434,0.201749908486194,-0.490311080106389,-0.736233971633965,-4.15153790781818,-0.109760797154645,1.20942943005405,-3.11000352401345,2.71649867978017,0.39166716362127,0.00407749609533422,0.160914632716383,0.610468689430351,0.011566054721813,-0.304597476582587,-3.50135278889101,0.261008605349888,1.64139267175096,-2.52431270231449,3.37641544183883
1986,-0.129807043636958,0.0774447609998915,0.0727525733715611,0.535908707480313,-0.159823219916121,-0.334129652852235,-6.47052407105082,0.273193048842083,1.20001972368367,-6.0422596534825,2.07962684938603,-0.450353747448163,-0.134433500275865,-0.153609124687463,0.315310436937177,-0.396080535057072,-0.555717417679555,-6.86687924116974,0.0940616437227728,0.959858694640238,-6.34071445584371,1.74919377540951,0.177852508363721,0.285884625418695,0.30067388480008,0.758365307365416,0.0902652222516585,-0.107996957131958,-6.07226305474201,0.44967312572012,1.4485347783886,-5.74722514832748,2.41223310847652
1987,0.248746245212782,0.171648622764029,0.129559019807074,0.507920145718844,0.178560195793402,-0.296939998748244,-3.24734471904534,0.395933409443992,1.00181523715036,-6.81810106526548,1.91779221987262,-0.0612773975428183,-0.0362970909422335,-0.0932548105817766,0.293758365332999,-0.0728664720349564,-0.5022813987847,-3.5745032020651,0.205997795401693,0.813538215854156,-7.12450736080594,1.58660811713486,0.564247314257259,0.378409778304229,0.352221604413535,0.720745379608878,0.43294828456694,-0.0862226354123162,-2.89644171866064,0.581059700008013,1.19343362966015,-6.51758720266642,2.2549428964263
1988,0.0156819625841354,0.435100348023122,0.332472734738407,0.656830037785296,-0.118955566853727,0.0617100127658159,-4.09966147451356,-0.189418231875973,0.981676049381149,-1.96595063314208,0.464249620625871,-0.26500821570673,0.236723716744382,0.10786485172773,0.445873360718519,-0.352344392662535,-0.145203865639499,-4.46002903262608,-0.370904432673866,0.840454349946114,-2.20444064047154,0.162980392215083,0.290202413882983,0.636431117055332,0.557416879021268,0.875891263447074,0.122070256802497,0.28281256135668,-3.74268007609252,-0.00661794958123303,1.12698955922746,-1.71616583782305,0.773676911860027
1989,0.2905717956792,0.087878401790331,0.466586236911983,0.500152579430875,0.0871418364482973,-0.049833978042646,-2.62256459906446,0.0891117363823812,1.21872345962757,-1.0422237553464,0.270649051115483,0.0166974843090341,-0.116365270347961,0.22683193040359,0.274215032298358,-0.156665242351201,-0.289457822112881,-2.98540616896882,-0.0866970748750044,1.07526124679653,-1.15383496477802,-0.0905576726569316,0.562035463936071,0.291144074323396,0.703915712538733,0.727983837889816,0.325862518538907,0.187705003238949,-2.25676891634001,0.262732528180125,1.35977144376553,-0.930082761006528,0.627849318749697
1990,0.280193332957869,0.172648728779856,0.587841093918576,0.361751448575613,0.474216555410464,0.167182845128005,-2.22640689303566,0.132983832640695,1.32354762869145,-7.14684066072425,0.506180211126605,-0.000915649602776348,-0.0343337930708251,0.350791864221189,0.13777383858548,0.225891069318771,-0.0756538505855561,-2.56773570346569,-0.0614368274801517,1.15718408661272,-7.26275934742042,0.137160096727868,0.56361180094766,0.377785803899768,0.826430619254195,0.588048493650719,0.724989465205518,0.413200717497674,-1.86509274675712,0.333862237207463,1.49058345461705,-7.03668378274017,0.867769433364759
1991,0.249134914457411,0.0974790212430319,0.330059607171121,0.336007751163884,0.0590715363762506,-0.334786183650315,-2.59823500356257,-0.51272252940396,1.37661173082865,-2.22160680451567,0.611634332225024,-0.0337561028906597,-0.112146127263818,0.0933477896030079,0.104989847474528,-0.201131636763189,-0.576837080769343,-2.98809584509473,-0.739365504307752,1.16077322262778,-2.33540130492687,0.231418941385957,0.533744256191412,0.296736333297728,0.573502940705749,0.575587694084107,0.315542214771989,-0.0856268196403192,-2.19722868006583,-0.284211754541771,1.59157895589953,-2.10812832208638,0.975512207560917
1992,0.328437998704009,0.658664474719924,0.368306495730487,-0.0698999583539106,0.354998180625154,-0.489485493254089,-2.05969075356844,0.340053031467759,1.13162650088698,-5.12532776256938,0.494743961183978,0.0646793288204171,0.461112008349565,0.133968224693945,-0.287931029667553,0.124831516685678,-0.724486458207788,-2.40112733086845,0.132996784735296,0.893750398447631,-5.23787173483923,0.148836053944953,0.608348743050036,0.855844423793717,0.605119665586911,0.149199280465051,0.58882531817889,-0.257240428736485,-1.69507691122202,0.548142513754396,1.36208711857667,-5.0115973244859,0.850121655684464
1993,0.029537788694433,0.531457146207059,0.318573567782177,0.0577774086480457,0.428368057742851,-0.3121939062594,-3.52880708108789,0.310599362262446,1.06909887970872,-6.84256096091292,0.731836140622103,-0.236537803054333,0.340982446051569,0.0966874552751026,-0.142179520166979,0.200778145123629,-0.525922579038371,-3.88937211221321,0.103289934243341,0.795825640580497,-6.95682391930468,0.391121070128439,0.295795973022032,0.722491995300921,0.536964095522853,0.261600657749369,0.652916942931174,-0.0908855131568917,-3.16094229346609,0.519489365186664,1.34028919040492,-6.72612321968219,1.08221911435603
1994,0.0921110147538342,0.090139586077829,0.407339470581189,0.020418411201202,0.254109197675187,-0.242680524751406,-3.20908321312548,0.262128778276288,1.30901985823799,-3.18784375052083,1.04440885647051,-0.170502861262244,-0.114737675053244,0.202427206753396,-0.180687832081921,0.0320899164868256,-0.442891408848529,-3.55614542283036,0.0524327157764026,1.02499982798275,-3.30021735913596,0.691332553868144,0.362501523762614,0.286963705269308,0.616993325570789,0.22644931340483,0.473064043378499,-0.0319381293769855,-2.86356217951208,0.467766595255735,1.58309012872938,-3.07776151194409,1.40065827590104
1995,0.12091495001775,0.521076185099324,0.223998111876346,-0.16270781148958,0.15522368352663,-0.437822207595302,-2.75304002189367,0.724753955490329,1.32430926369081,-1.93565269071965,0.89365281357797,-0.15564353444077,0.330250549097748,0.00479212323864938,-0.368652332722237,-0.069581301000669,-0.64936246471729,-3.11578967583803,0.496885049673307,1.03580883443989,-2.04711935227924,0.54181545408932,0.388758047817835,0.714943022433688,0.436608998403932,0.0372944972547066,0.385070039225884,-0.227345113104827,-2.38022456403944,0.955466224052962,1.61504648786736,-1.82166423479439,1.24775999191945
1996,0.32683873737718,0.633501804122023,0.20001518303458,0.0265410753659013,0.523584541434144,-0.260799551276008,-3.06633957798098,1.09913317122018,1.71207065887642,-1.78758347901116,0.931354253706373,0.0544769729803862,0.43493223706234,-0.0293731108556534,-0.172372025712796,0.301998898873771,-0.48819165619018,-3.43028897528275,0.809258034945716,1.43356785364777,-1.89958179254024,0.572984456351395,0.597945586074742,0.8297876092335,0.421286448635674,0.229349713377862,0.751341535508154,-0.0347663575454648,-2.68714547749144,1.39715486267921,2.00216024258948,-1.67584408953278,1.28695874683092
1997,0.528436185639759,0.624709244570533,0.247887951511504,-0.139559967680159,0.603411176272512,0.0113342582736677,-1.98024942394391,1.57825715419591,1.70367599843836,-3.98266916736534,0.879124488501442,0.244207084395864,0.42451646691582,0.0177913906936924,-0.342501613886439,0.370565528669476,-0.209803729787275,-2.34055360664817,1.28178961776926,1.40593876048759,-4.09565094918214,0.512669254596282,0.810190407057629,0.821179038057668,0.474017629557371,0.0651862208456614,0.830499398775085,0.231544522003312,-1.60948496942389,1.8849601549492,1.99732512609602,-3.87143319324326,1.25215153954803
1998,0.352862527256325,0.869912709794854,0.484687412627174,-0.173114463765709,1.0207072499391,0.231793351231172,-1.93476963469941,0.883696112851437,1.66840119626046,-4.18144518785214,0.817488379912901,0.086630311602427,0.666281789606684,0.254707239205792,-0.378847246428399,0.786535709359383,-0.00193468366372229,-2.31291738022075,0.576981714777262,1.37188198851986,-4.29612413019195,0.446125785486755,0.616157004079493,1.07108857514743,0.716261559762903,0.0271613616505507,1.26328803007999,0.467692692579421,-1.5578344213753,1.18193121076115,1.96058068008345,-4.06768472976482,1.19116181154426
1999,0.0297434557270294,0.849722163453373,0.102354191813346,-0.357421611540428,0.32834147623203,-0.350855428852858,-2.62793382937777,0.746602189212364,1.04466514312955,-3.9359721149843,0.202444170053552,-0.215952719944617,0.640326040141324,-0.120660547061284,-0.56154932112872,0.10045565467386,-0.585431102789257,-2.99533308240535,0.389785013043796,0.744500998731763,-4.04892840470073,-0.153028367747128,0.282402655954054,1.0525210485497,0.326215224857651,-0.151689925289801,0.559802761487206,-0.119472559470101,-2.25169128024329,1.08549709799649,1.33399800446294,-3.8243299274115,0.555682677431745
