"year,""GF_median"",""LB_median"",""NF_median"",""QC_median"",""SF_median"",""US_median"",""GF_q5"",""LB_q5"",""NF_q5"",""QC_q5"",""SF_q5"",""US_q5"",""GF_q95"",""LB_q95"",""NF_q95"",""QC_q95"",""SF_q95"",""US_q95"""
2004,0.306832468517677,1.38154521149891,1.75023130569888,-0.403813201953192,1.06777803610057,-1.46226618259767,0.115523244058907,1.05797288187363,1.50021278319514,-0.506827918768557,0.940976368325917,-1.57432833728175,0.492000513671061,1.68117151700572,1.99089503398656,-0.298715737008846,1.1913562139151,-1.34717923922129
2005,-0.0346813517571379,1.71326716345681,1.51841633849472,-0.658746387618846,0.604339027466467,-1.52685003353793,-0.232113941204204,1.41643933536337,1.30566747015906,-0.765615811911355,0.473392607572396,-1.64016705286422,0.165953003744487,2.01379598170302,1.73564752822538,-0.551965328157238,0.739924839317896,-1.41162963488818
2006,0.23597082171763,1.87255780587623,1.61807141759977,-0.412787510261006,1.49442240194325,-1.11727875442935,0.0441854594780992,1.54158023296256,1.41712905564955,-0.517596132583301,1.36563064477207,-1.23217868703412,0.431009839142734,2.2045382913482,1.81889152465763,-0.308616550250203,1.62356963003266,-1.00280253596075
2007,-0.0320557131704413,1.55438049329868,1.50244239561524,-0.84359766912397,0.511078437842712,-2.14175109458133,-0.268135440671544,1.19186619051544,1.27061965413863,-0.950434099581833,0.363221479443128,-2.25876159076631,0.209397750244518,1.90437749067341,1.73922480283912,-0.734310166845354,0.661925722010897,-2.02935447686122
2008,0.169156432572869,1.54912057405903,1.79884422174597,-0.394159749478514,1.21051201074401,-1.2970197554866,-0.0331234057187793,1.20906896587692,1.5373704137042,-0.498004183430595,1.07755033849131,-1.41156700651528,0.366278894522139,1.87964227725826,2.06107217495005,-0.288091117083772,1.33888872947985,-1.18360258476163
2009,-0.527432575106004,1.12478163129827,1.50910056468495,-0.926939832914424,0.180258350137753,-1.9002597168249,-0.737730334487609,0.761913563067545,1.30490132812853,-1.03274510789535,0.0517754310313459,-2.01536996723318,-0.315795332922378,1.49438900811798,1.72056539091619,-0.819202486419011,0.311640059740702,-1.78723471143649
2010,-0.207936907701296,0.926020291823362,1.59899845608414,-0.867306020122022,0.737694647412282,-2.08602068182298,-0.386052287511576,0.584482340885797,1.3615779757659,-0.970343147321962,0.601047814071231,-2.19796300628864,-0.0258601787973265,1.25550749539403,1.83815744212792,-0.763898898229476,0.874841626105602,-1.97349255002807
2011,0.526566917003436,1.16489676283805,1.79479872051594,-0.260139022600218,1.58180074044874,-0.205981886352531,0.30324150222541,0.768441869250464,1.59564341091797,-0.370364090684138,1.4400491832423,-0.319980586150312,0.75216423238601,1.54246882416159,2.00347658545246,-0.149233973378976,1.72405653964319,-0.0887752631305261
2012,-1.05447489242152,0.611665813245043,1.61665971716647,-0.871845312391792,-1.88704645111206,-3.38330497535987,-1.3005880189898,0.214736962768648,1.33090555595815,-0.981918436919848,-2.04177713422896,-3.49975303186248,-0.808907166988543,1.00072304834826,1.90574435249826,-0.762217120648466,-1.73003094549335,-3.26748895839918
2013,-0.298247929380672,0.938828411059114,1.83873378336488,-0.557853555614837,0.586137211888564,-1.86709380523736,-0.529238523686412,0.580568413643199,1.65751124623354,-0.667061826024897,0.446945051474211,-1.9813618722552,-0.0661032459963039,1.27810729933208,2.02022105002813,-0.453007861967857,0.724429625699744,-1.75321269837077
2014,-1.13410321201182,0.800749827819067,1.27756181270599,-0.843742856342516,0.257725201190617,-2.32788949392321,-1.34808886114157,0.471324631246586,1.07802312431023,-0.94952836183411,0.118016401370096,-2.44230061508927,-0.924310151044215,1.12557448805304,1.47914586590457,-0.739979501497833,0.400363685806527,-2.21314444247916
2015,-0.460049514943961,0.992104887922648,1.70471982243805,-0.461438868835235,0.631200944110148,-1.32819581142391,-0.658888736423173,0.649771035484195,1.49526032727935,-0.568651777505336,0.494913136384447,-1.44556834004669,-0.263824081215518,1.32413093429742,1.91540906224669,-0.357313166281757,0.767608891702646,-1.21485011279707
2016,-0.678152760599846,0.992077956735758,1.98316296915888,-0.462897386642653,0.421801214895795,-1.41066474986375,-0.873508652651321,0.61577970100895,1.76005092666985,-0.567494204924009,0.278226857915536,-1.52469866603699,-0.479956738730921,1.35651818027278,2.21130829353669,-0.358909519258176,0.565651037714872,-1.29659079636486
2017,-0.709386326999776,0.902789849841612,2.42898513376931,-0.497415965741017,0.56862721312354,-0.778713723993836,-0.930703493404023,0.50130158387484,2.16488924514517,-0.605124529140322,0.40478761527731,-0.893159698641806,-0.48930282789048,1.30496580856066,2.69893149237709,-0.3895845176221,0.732113052999856,-0.665477238373613
2018,-0.832018199827376,1.0883986832934,1.29031589935889,-0.653106500927999,0.233079562459423,-1.62862525893408,-1.04678175853415,0.747010422694872,0.983394796272053,-0.75999165001997,0.11890454342879,-1.7425851532386,-0.612593192891331,1.43947999519291,1.58255505336628,-0.545790372518917,0.348678118259955,-1.51397879684767
2019,-1.1302591878594,0.733883507153219,1.46659644088554,-0.909381455871351,0.7190578369576,-1.66405069325578,-1.34251996205891,0.419623084808588,1.16019134140847,-1.0186891812233,0.579542038199393,-1.7791017360311,-0.927933484047179,1.03101597247271,1.7823405650853,-0.804333233319502,0.853751975154054,-1.54966591166744
2020,-0.231863419625225,0.950493314519221,1.53981044820646,-0.527068625411963,1.00521125986705,-0.999538153999922,-0.455376798578841,0.698591399101082,1.20297331596657,-0.634297014061426,0.87221467294674,-1.11134486957975,-0.00145437068533988,1.20607486085875,1.86401972873133,-0.420529356199577,1.141235336445,-0.883844698484908
2021,-0.533614045527395,0.604973852162864,1.93107384045125,-0.438934743924174,0.105503491999023,-1.92077376976123,-0.778014597279712,0.216934951127759,1.60854984333132,-0.547087420370066,-0.0551866546958291,-2.03858297513462,-0.290012129008863,0.995810330860205,2.25279324956997,-0.334993144406369,0.271378877174179,-1.80710319306976
2022,-0.71393217587212,0.528926039757369,2.04705884054387,-0.522500175750106,-0.699096943108503,-1.89469562124224,-1.00283566014999,0.120338470976688,1.76054975964351,-0.630032650918309,-0.865350196338403,-2.01125448045807,-0.429871441338188,0.927975137012504,2.33821837691855,-0.41087284123899,-0.529070952657105,-1.77816450852112
