"year,""FI_median"",""IC_NE_median"",""NO_MI_median"",""NO_NO_median"",""NO_SE_median"",""NO_SW_median"",""RU_AK_median"",""RU_KB_median"",""RU_KW_median"",""RU_RP_median"",""SW_median"",""FI_q5"",""IC_NE_q5"",""NO_MI_q5"",""NO_NO_q5"",""NO_SE_q5"",""NO_SW_q5"",""RU_AK_q5"",""RU_KB_q5"",""RU_KW_q5"",""RU_RP_q5"",""SW_q5"",""FI_q95"",""IC_NE_q95"",""NO_MI_q95"",""NO_NO_q95"",""NO_SE_q95"",""NO_SW_q95"",""RU_AK_q95"",""RU_KB_q95"",""RU_KW_q95"",""RU_RP_q95"",""SW_q95"""
1997,-2.25497875564842,-1.72913900254024,-1.37487678001109,-1.095387610573,-1.20483630720065,-1.94483072893515,-2.70413503769663,-3.13017007792019,-1.95692325014479,-2.71714313192156,-2.25314361631118,-2.71006734066866,-2.1854224832395,-1.8277831537393,-1.5451241027356,-1.65512688811976,-2.39083364994892,-3.16507631280285,-3.51650643465863,-2.35707499564087,-3.1349000461788,-2.78173248894858,-1.77980068832939,-1.25912153492302,-0.8903729385244,-0.595424153473203,-0.737832356093552,-1.47623699952736,-2.23954931063323,-2.74983213905123,-1.54384403023588,-2.29886966351838,-1.72889741004371
1998,-1.92761184427148,-2.16975161211365,-1.21743705380473,-1.10674909134217,-1.12969309372652,-1.74298332016247,-2.69687470727875,-2.72375350883086,-2.05492117330745,-2.40174216848237,-1.92887904734482,-2.36329168206633,-2.6066679457206,-1.64282835406853,-1.54320089148591,-1.55382349303329,-2.14727813098201,-3.12637266856244,-3.11480157603619,-2.42138557719584,-2.78590697199995,-2.39571314085964,-1.4515689109191,-1.73231903531005,-0.774938870280677,-0.624885915088488,-0.694602532260899,-1.29279680802136,-2.25580519351818,-2.32965781128401,-1.67740865840814,-2.02510837497533,-1.44553008608175
1999,-1.82478153726299,-1.91587734974172,-1.05063824891996,-1.04068281411039,-0.814567259899694,-1.58097560450837,-2.79995368344566,-2.50956063395471,-2.02740593301044,-2.85132139403937,-1.71158032890289,-2.27309930322123,-2.35846204785589,-1.49095475879483,-1.48144778449268,-1.25239514690821,-2.01252078054342,-3.24547933751265,-2.91188087878165,-2.40182912405573,-3.22959782868388,-2.17008642954171,-1.34021633069588,-1.46561655348537,-0.578966064485361,-0.559756735743198,-0.347720207170968,-1.10752224997179,-2.35212806020347,-2.09961829731854,-1.64020600729424,-2.47896774628324,-1.22314758950178
2000,-1.64985622037489,-2.03439337199172,-0.969945009931114,-1.11147874883459,-0.801639385121854,-1.45702149704316,-2.81415879449612,-2.1247610780255,-2.0365488460617,-2.67495928045964,-1.64621237766626,-2.10181707858064,-2.47695041205777,-1.44582201794917,-1.57870122515867,-1.26199562196976,-1.90479492727032,-3.28136450545054,-2.54853372378452,-2.45054061264162,-3.08450682742371,-2.14934379155703,-1.15806713363796,-1.57635086920391,-0.482661500481308,-0.61771829577755,-0.289817940114103,-0.959013587519714,-2.32319373039542,-1.70226867746764,-1.61798842658688,-2.25000321062434,-1.10283620764229
2001,-1.95792019583546,-1.67365514369872,-1.04096066520707,-1.18138088218148,-0.735275269788678,-1.51259335268719,-2.76114322746859,-2.21199644796835,-2.16404616882656,-2.89791673154253,-1.6125480049658,-2.39940398312187,-2.13635262340176,-1.4838610578099,-1.64057024908073,-1.17204532743462,-1.94643405198592,-3.22520256787521,-2.63469986806035,-2.56167740795595,-3.28856381608207,-2.08133259871584,-1.48205736550407,-1.20775396443207,-0.57030734567495,-0.698115608121718,-0.264840746143515,-1.04600704748073,-2.30343577500722,-1.77775659849947,-1.76366263661891,-2.51212864517769,-1.11630160633951
2002,-2.21107360735153,-1.94442709070386,-1.03055260483965,-1.2946967538459,-0.809640225113907,-1.44256902281583,-2.7074894211443,-2.1977729886827,-2.41473683300912,-2.96488982303228,-1.65942762837896,-2.66260384243251,-2.38597617307051,-1.47340294764233,-1.73304706611623,-1.24565688546881,-1.86719281605176,-3.15683530455051,-2.61438413048716,-2.80490755989603,-3.34042464455804,-2.12516731850216,-1.73379845002035,-1.49006709477093,-0.562134526790635,-0.808815624126549,-0.358925335477283,-1.00903101786179,-2.25757995470399,-1.77257005304701,-2.03240110116102,-2.58272485307956,-1.18367526383236
2003,-2.56072684391734,-1.36127132447786,-1.46994038523609,-1.43153905618305,-1.05727368353563,-1.63466299828564,-2.52403173683915,-2.53256109142194,-2.57072693973871,-2.93488356490224,-2.09328416574893,-2.98074575709887,-1.82401155723993,-1.87316456338025,-1.85786933915572,-1.47630099259038,-2.0445490141846,-2.95767255297318,-2.94192769850551,-2.96349900526701,-3.32527528521731,-2.56663046968153,-2.13866946391414,-0.886142492862828,-1.04332313211031,-0.971428120773777,-0.617481131618226,-1.20892356139621,-2.07455820136159,-2.12319931733702,-2.19963061088907,-2.5397802518299,-1.62372406681763
2004,-2.62497048945492,-1.35153162822317,-1.4683160713319,-1.42911431462653,-1.02034014371129,-1.59745839154031,-2.53646303008945,-2.57312854126957,-2.61252219849739,-2.85599574226175,-2.20832617383654,-3.04556271889465,-1.81857996873665,-1.89241048785677,-1.85832495493876,-1.44420137879415,-2.00857383643497,-2.96700644513102,-2.99178225619633,-2.99618781218654,-3.23675654906855,-2.68257608974977,-2.20062008250934,-0.864984656140138,-1.03709773278914,-0.976565843939743,-0.590275168848552,-1.17068178668333,-2.08732124283962,-2.15040375135383,-2.23682916341043,-2.48865352527183,-1.74933640686956
2005,-2.7250167972214,-1.29714070830553,-1.81187935465311,-1.53745419215369,-1.29239815260784,-1.92192559175598,-2.4706824583526,-2.67000391076984,-2.77705852794574,-2.75953191266005,-2.16510187480704,-3.15565150465151,-1.75024970562828,-2.21578618143653,-1.96796936945541,-1.71562774386637,-2.3444799675524,-2.90812258690621,-3.1063242311889,-3.16526399781176,-3.15802247200249,-2.64143177409711,-2.29825989459867,-0.817796347266575,-1.38422014024746,-1.07998108611303,-0.852262602122004,-1.49706219347422,-2.00428597848132,-2.23694877338997,-2.39686394819667,-2.36719236051592,-1.68890064430704
2006,-2.93217268513145,-1.4017532009093,-1.86252945190182,-1.63135959561879,-1.41144777516134,-2.00412024094051,-2.45349476251468,-2.84187761393878,-2.86708127292258,-2.65190898120596,-2.09723219351711,-3.35967769401488,-1.86923204996862,-2.30245428790537,-2.073762760837,-1.84079590310829,-2.42977046585916,-2.90645065318128,-3.27951189578832,-3.25964905311199,-3.04270916219319,-2.5740259304337,-2.5045027095095,-0.919726183456348,-1.42787316628937,-1.15437825197804,-0.964725065216295,-1.57983660229947,-1.98692564870976,-2.40704000038128,-2.47291756333664,-2.27344262120617,-1.62519115096653
2007,-3.01311828675161,-1.62492239634355,-1.80240952674377,-1.58037072126295,-1.41945147564393,-1.96398757971126,-2.61615310998897,-2.68148372219242,-2.90043082881737,-2.43722264274343,-1.91027750756336,-3.42952981769925,-2.0885785787437,-2.22420238590159,-2.01006556011602,-1.86008937577626,-2.38316606484086,-3.06368715557279,-3.11140203095111,-3.28537669692788,-2.8140827640296,-2.41159490509949,-2.58626527270872,-1.14241269987918,-1.36888424697621,-1.11352488038822,-0.983615608607269,-1.53466258738118,-2.1467118273053,-2.25803787226279,-2.51265093406338,-2.03991495780238,-1.41842240657212
