"year","EW_median","FR_median","IC_SW_median","IR_median","NI_FB_median","NI_FO_median","SC_EA_median","SC_WE_median","EW_q5","FR_q5","IC_SW_q5","IR_q5","NI_FB_q5","NI_FO_q5","SC_EA_q5","SC_WE_q5","EW_q95","FR_q95","IC_SW_q95","IR_q95","NI_FB_q95","NI_FO_q95","SC_EA_q95","SC_WE_q95"
1981,-0.154201177788333,1.36462023550776,0.251914795904578,1.26046495590879,1.58530345582956,1.03614487422012,-0.130224239425718,0.572509936126363,-0.420278853147282,1.03073309850427,0.0475777763511595,1.03624504220301,1.38297855007841,0.826165251982134,-0.361123201155342,0.299814074283752,0.123021790557576,1.70342971957432,0.446073681253769,1.48428425647327,1.78643271848181,1.25282156907694,0.0928369996469025,0.849986857041235
1982,-0.193332937406237,1.36615383254178,-0.0581191849843583,1.32076422770634,1.31076190551182,1.36115191943291,-0.0632729714542017,0.604641500495707,-0.481682114212996,1.00040165497707,-0.262609374742906,1.10983669252016,1.10668707842406,1.15805843923842,-0.295772581547234,0.326218999339232,0.0945752327597029,1.73098084944733,0.143650277930649,1.53526109390764,1.51080434619773,1.56289545965684,0.169280731812679,0.87547998673561
1983,0.187656846067341,1.14836995144371,0.352976730327675,1.9494055853813,2.24087653151235,2.56692804071473,0.317565767899656,0.929470224173083,-0.0925440049865007,0.782091320600933,0.15575035575071,1.75372935037089,2.04220828569496,2.37352119600098,0.0641628470533057,0.652005610773681,0.471318153723141,1.50992614056872,0.55389908539821,2.15040822750046,2.43695588647598,2.76272683527439,0.572090417691201,1.20648299245283
1984,-0.14925865990775,1.35322958372589,0.227207714019004,1.59982597953105,1.63073809286032,1.46430869718034,0.160968550427805,0.821954986013925,-0.431468737900138,0.989442862133961,0.0181738985589464,1.40883735448028,1.4302450307981,1.25617125883932,-0.0923333700063958,0.532217563227144,0.135072699288624,1.71015673710028,0.42608657737247,1.78881884444698,1.83319161340782,1.67358168549486,0.41494895872938,1.10608970887248
1985,-0.325287122389465,0.926396348906819,0.675949796878273,1.74204937317022,1.57924373813806,1.50838738192139,-0.000125278807996648,0.662850473540677,-0.623747011592759,0.536388123838314,0.465482327959717,1.52860791534975,1.37733611966378,1.30226106568518,-0.258759533892097,0.347193197590332,-0.0317132231062258,1.30195780577885,0.882587219188815,1.95856031992802,1.78992350094728,1.71274383953603,0.261070712698556,0.968312961266201
1986,0.0137478679902102,1.41532980752517,1.17578946668273,1.57984073288863,1.84913847966302,2.32799358247429,0.352562511506896,0.960034272953004,-0.294921166237521,0.947626050493985,0.96585127813059,1.37141796449919,1.63442730840322,2.10588104894867,0.0621464594810679,0.649350267338183,0.32303284654795,1.87110105580905,1.38129432223912,1.79134223946004,2.07080888565181,2.54618864076612,0.639169018124576,1.26147405240557
1987,-0.255787519898563,1.18178666952802,0.879685445711351,1.5384539637174,0.985982958053613,0.634273156251494,0.14283835936775,0.795271250305016,-0.552822450984737,0.729459846294998,0.671192630708756,1.3189153175191,0.761922846097707,0.400592633943612,-0.152498901091639,0.501039069746626,0.0442233849003047,1.63119144921793,1.08998232831162,1.76529734326254,1.20511791125781,0.869649704202212,0.439084724208769,1.06736941183043
1988,0.112948253611756,0.850144705860543,1.33900486890747,1.95563369379584,1.80728974883788,1.53278747276021,0.427620064496011,1.16857950344012,-0.175093899979153,0.407260171624604,1.14222768637703,1.73335133979515,1.58527993245848,1.30725210167489,0.145088020805202,0.89448571456494,0.392179266196443,1.29868593330047,1.53842145056275,2.17007359923429,2.03288430906988,1.76415452228282,0.710570999268272,1.43436289240807
1989,-0.0630056993021526,0.702349224025274,1.1114351391885,2.25553447513015,1.98300086167801,1.96710072686768,0.415412154096796,1.28772569226451,-0.36019318696092,0.223387068649832,0.908119768437216,2.0555284643825,1.81840240523866,1.79364984666963,0.109710544670004,0.984049050412734,0.231942462210427,1.16954022670699,1.31038538749445,2.46270916284426,2.15707251119833,2.14510285548722,0.721087459653838,1.58153928112842
1990,0.191432586597327,1.13874690831575,0.96365233596862,1.7499642455593,2.1531760754795,2.42816339261155,0.504407373080012,1.32631207714208,-0.125300472221995,0.660952078330749,0.753703158806836,1.53433984913174,2.01319604774907,2.29217979588949,0.165561648018096,1.01026194710835,0.513247820160819,1.60420386892626,1.16077790962139,1.96483182109142,2.2876091476387,2.56435830929854,0.845674592027429,1.63152197964656
