"year,""GF_median"",""LB_median"",""NF_median"",""QC_median"",""SF_median"",""US_median"",""GF_q5"",""LB_q5"",""NF_q5"",""QC_q5"",""SF_q5"",""US_q5"",""GF_q95"",""LB_q95"",""NF_q95"",""QC_q95"",""SF_q95"",""US_q95"""
1986,-0.582250813185391,-0.855293050365008,-1.54447336387166,-1.28537782257265,-0.898457603213394,-1.52472405555909,-1.0639465317651,-1.32490434086439,-1.93297953875543,-1.70423080218341,-1.3575112936308,-1.93997120351077,-0.0397886715553663,-0.349905882016846,-1.1402081443444,-0.846112886441291,-0.384757893789585,-1.07857774838604
1987,-0.634452667423587,-0.925218166303279,-1.47620194925253,-1.27841648336832,-1.12553890365635,-1.98462660286576,-1.08927327587224,-1.38699361796561,-1.85714720562725,-1.68294811192691,-1.59949631873914,-2.42869685636658,-0.11997441751773,-0.41643778172893,-1.08329935988172,-0.872270817720233,-0.618114562606378,-1.54022842385578
1988,-1.17284827436899,-1.00838237111334,-1.82104335772736,-1.50178909442796,-1.76966627171039,-2.10820412658196,-1.61344192553988,-1.45135036332836,-2.19881143985269,-1.87970265140562,-2.22305349846605,-2.51160738671937,-0.709931444354645,-0.535729387813908,-1.44454988509668,-1.11850614828202,-1.31849666039043,-1.6888880176647
1989,-1.57792374633742,-1.25190064789704,-1.75265979552695,-1.67830063689425,-2.16106182961192,-2.70237153757471,-1.99488650601776,-1.6766536217349,-2.11799408717665,-2.0371355392797,-2.57109547527201,-3.13118432547031,-1.14149699959163,-0.811927735709427,-1.38755111289914,-1.30412180119616,-1.73744988797346,-2.28014679722933
1990,-1.89444678050117,-1.19644027699448,-1.84970020066043,-1.79944415796207,-2.42983784413665,-2.72366990036032,-2.29745133217791,-1.63837638501178,-2.21334350520389,-2.15636554325776,-2.82100501528259,-3.11513180883929,-1.46529643743217,-0.751289295938238,-1.46835228697748,-1.43830286196906,-2.03187953630918,-2.32287906509115
1991,-1.75417918055077,-1.46006442616231,-1.64244203724728,-2.03347989829329,-2.49067532544418,-2.81799911998344,-2.16543862906279,-1.91099607251373,-2.02538395761923,-2.36169177915375,-2.89410859410272,-3.21802430158642,-1.32942316921238,-1.01895958566342,-1.26315858743492,-1.68811728277865,-2.07541183175619,-2.42359033979392
1992,-2.18080738614348,-1.57097325819589,-1.63924336991552,-2.25784862672611,-2.94198343676459,-3.64527620493786,-2.6135675297743,-2.03263750590959,-2.02389750088926,-2.60694694339376,-3.34113040882823,-4.03887231843259,-1.7589048664329,-1.11497083173186,-1.23846348306634,-1.90165000089057,-2.53903412490375,-3.26771922377413
1993,-2.42112779208415,-1.46227977747081,-1.73788085349589,-2.27970660678083,-3.24652520226303,-3.32243346154176,-2.82223108953457,-1.9055371871841,-2.11373192723637,-2.63288027896392,-3.62905638193081,-3.72604055687444,-2.02447096057746,-1.02326054273051,-1.36483652751595,-1.9258849233821,-2.86300331945876,-2.92622560877322
1994,-2.43869025697951,-1.23388520224879,-1.65959405393986,-2.27760145745219,-2.75097769537657,-2.87427123201851,-2.84717171350966,-1.6710583973681,-2.03738547902179,-2.61627162450106,-3.15068732181358,-3.2606178592637,-2.034128132504,-0.789722516509787,-1.26778820157154,-1.93786114437758,-2.34115578276839,-2.46501043510641
1995,-2.63574880331961,-0.858559700378518,-1.48946910211325,-2.21921723079524,-2.5782053173935,-2.86525132751047,-3.02428119982356,-1.33123250067608,-1.87545861281397,-2.56253632065523,-2.96451438336207,-3.28729377288317,-2.24386519226543,-0.368572448740125,-1.08478026898754,-1.86822348318998,-2.18147121814771,-2.44706346237098
1996,-3.10634338053169,-0.872687337266265,-1.92969072875429,-2.41822489759602,-3.15924510934798,-2.8825652121822,-3.51830095560953,-1.33445961363576,-2.30946655977255,-2.77087714057917,-3.58640717132077,-3.28409863738537,-2.69528570597536,-0.387686229532768,-1.54401162887452,-2.06698649689445,-2.75734387158791,-2.46089181216135
1997,-2.79514754783682,-0.814996179479761,-1.9725170997609,-2.32207813941764,-2.51006955759741,-2.99850534358112,-3.20822531113939,-1.30324191246827,-2.35382419237768,-2.66673401469083,-2.91837167793282,-3.40963350403631,-2.38037417575569,-0.295898797809485,-1.57767044642574,-1.97480886575233,-2.10929449435251,-2.59465498904537
1998,-2.84354957023739,-1.05596470278334,-1.95296389195001,-2.35223541519524,-3.08707527275494,-3.55137137671486,-3.21995297872827,-1.51511048536566,-2.32314397825532,-2.69524512701774,-3.47960600633154,-3.97396534927215,-2.46889458347192,-0.583897595766063,-1.58698539131723,-2.01875482668499,-2.67642861758175,-3.14841107751638
1999,-2.5027505285072,-1.12830136247281,-1.97007868816528,-2.33168685293891,-2.89231211407899,-3.32281461367604,-2.90086864143238,-1.56484543347172,-2.33164616515084,-2.67389126962568,-3.28475035732963,-3.7131861197136,-2.10408056917342,-0.661164433003858,-1.58831910059144,-1.99748057258184,-2.49053986252167,-2.91239977597237
2000,-2.68505745500516,-1.46058539472519,-2.25515856172274,-2.57009938778141,-3.48909086935935,-3.54402864061218,-3.08578972559612,-1.90854883304276,-2.63827392682688,-2.91262176456824,-3.88245993059776,-3.95611208347414,-2.28409381522341,-0.993091495606294,-1.87550650478778,-2.22753684758261,-3.0894704925625,-3.12326090317578
2001,-2.04747236861988,-1.59022592288258,-2.12446133349358,-2.20414742088666,-2.62182272456833,-2.86336131583928,-2.45698737608797,-2.03224421908038,-2.50158712199431,-2.55228228788273,-3.00865105560729,-3.3012850585646,-1.62822616889856,-1.14333514127332,-1.75297294969466,-1.84825721558606,-2.21475016831563,-2.42523675787714
2002,-2.25101663015946,-1.76100562161505,-2.01765261663751,-2.31164398095942,-2.86545040751848,-2.93118985248339,-2.63855283997245,-2.18960305589372,-2.39370492835244,-2.6491317311997,-3.25937993092283,-3.3486741185227,-1.82514079131032,-1.33700058450125,-1.64074983152771,-1.97401515479877,-2.46522676426533,-2.51231750547138
2003,-2.06166416266348,-1.71036140763189,-2.07312792725545,-2.27166282482423,-2.51076014818875,-3.02443870821793,-2.44404338216283,-2.11562326800591,-2.43254050258018,-2.60887705277313,-2.88372614730014,-3.45483436144816,-1.65802598545445,-1.2931006809325,-1.70045473014722,-1.92189089165375,-2.10313541524101,-2.60292756983045
2004,-2.25982231327131,-1.47209428755983,-2.04929542737341,-2.36000388290799,-2.45016013969186,-2.63905631689371,-2.65482429777726,-1.88811907804734,-2.41717325492153,-2.68569495666314,-2.85183108176195,-3.0322697023291,-1.85892512952378,-1.04444413535156,-1.67808043560721,-2.03178764551007,-2.03871051214673,-2.2328709863916
2005,-2.2011664379441,-1.51279377788399,-1.95825664794054,-2.32557801345942,-2.17153550783598,-2.68703772695821,-2.59127825392118,-1.93985336396773,-2.31384896321271,-2.66075426664039,-2.56524057796013,-3.11631276671027,-1.80154233436117,-1.08315949462983,-1.59494153138902,-1.99179786942464,-1.77744321886706,-2.26375903087646
2006,-2.36161332565248,-1.48160033940146,-1.94085868855147,-2.27497965228167,-2.14916765597162,-2.59517174458275,-2.75747824263939,-1.90249606198554,-2.30610151546283,-2.60322306336889,-2.5791076792977,-3.03406038081809,-1.96333391810268,-1.03067471128785,-1.56936300631089,-1.94013702597093,-1.71936178522733,-2.16195470065565
2007,-2.19650559340039,-1.32909942346492,-1.85276839917068,-2.20543375166227,-1.82351141008417,-2.22748007658531,-2.58616165191304,-1.74378260068185,-2.23832663208895,-2.54912879098447,-2.23105985274903,-2.63671835321611,-1.80934264761713,-0.888361846042321,-1.46637640376995,-1.84650514247404,-1.40358973434073,-1.81184288471989
2008,-2.56919317590315,-1.66775142400772,-2.01821823862779,-2.4039872501902,-2.5858202498391,-3.04983554107425,-2.95765176777856,-2.0869700800945,-2.38088447696689,-2.73564695773471,-2.9749302965818,-3.48436887097987,-2.17108009727077,-1.22855280802152,-1.63992826403692,-2.07225506295189,-2.18216872280083,-2.62175918024919
2009,-1.81745198412665,-1.43332303277871,-1.77787538610127,-2.09071071705523,-1.84148833116078,-2.20005179777402,-2.22468958779226,-1.87709310949,-2.15809422591021,-2.44152290753151,-2.29434292445863,-2.62972068832653,-1.39856896856856,-0.974332850744006,-1.38768234695984,-1.74776337357056,-1.37168437230976,-1.74797322804648
2010,-2.19779687709804,-1.61478042750731,-1.92311319717556,-2.23163610414183,-2.43023671134365,-3.08839803549462,-2.60845233412566,-2.05283239716398,-2.28977902775478,-2.57643398986973,-2.82151346133636,-3.49788920120074,-1.77694747497858,-1.17572194765153,-1.54552800460912,-1.88981123545158,-2.03133721947638,-2.67324432953722
2011,-2.52725668807993,-1.76670560408248,-1.95441081541371,-2.32203923388989,-3.20250341780759,-4.06658876323498,-2.90975522081616,-2.19173816173528,-2.33677446157046,-2.65303657075778,-3.60105768753565,-4.45812050947662,-2.13004568906941,-1.32105278469492,-1.58104154596625,-1.98615797494697,-2.79923161968289,-3.66490669327191
2012,-2.77462455621641,-1.74358820260121,-2.30261857762067,-2.64786490227302,-3.49784324294863,-4.18859291577738,-3.16210708303496,-2.15987567264852,-2.66019493687428,-2.96903732597476,-3.87766487300137,-4.5938049227736,-2.38327971400452,-1.30670398895685,-1.94842661501649,-2.32741650734218,-3.11486375290712,-3.80252143706838
2013,-2.9594047606877,-1.59814895924984,-2.32729105635461,-2.49613363920747,-3.73487556639224,-4.07515990281312,-3.35186951211797,-2.02798551058117,-2.69436511156011,-2.848851717514,-4.1398195051712,-4.49730930600377,-2.56469999585588,-1.1478708896421,-1.96245730871411,-2.14471546329706,-3.34393828521538,-3.66760156096023
2014,-2.69889256295925,-1.53917255028543,-2.24913998802487,-2.43318835337339,-3.19721606002086,-4.34021806259888,-3.08848183563984,-1.9683046970844,-2.62186367742796,-2.78437962595422,-3.58766365216874,-4.73451086256658,-2.30673868336467,-1.09865177321025,-1.87023534304363,-2.07201680326244,-2.80514663893076,-3.95040804470068
2015,-3.02276383483382,-1.61649178847966,-2.41308553014527,-2.52917440912417,-3.18857352331575,-4.11212279148898,-3.42997761615276,-2.05061322930825,-2.77249053678529,-2.88175518185888,-3.57833233960718,-4.54093333038537,-2.60787761882286,-1.15441887553917,-2.05019175369693,-2.17176719263507,-2.78507420314174,-3.6938624488325
2016,-2.6435508337636,-1.78352440222941,-2.41816834688589,-2.56072665817316,-2.51536912726231,-3.59940555827735,-3.02909736480418,-2.22309482483329,-2.78078654619395,-2.89030465643347,-2.90398265822563,-4.01935574754604,-2.26370646654713,-1.33746671240155,-2.06218712794287,-2.2249770398039,-2.12777881500875,-3.1949762821661
2017,-2.80747715155387,-1.81087691637723,-2.51246730691411,-2.51933087215401,-3.02657675185686,-3.19845492585343,-3.20715107715389,-2.21995139174647,-2.88277967914072,-2.86843344784299,-3.41959444103436,-3.64372821101858,-2.41206492337258,-1.39174744357883,-2.14905925244647,-2.17252955978581,-2.61763391263025,-2.7631907479309
2018,-2.42872185536677,-1.91519568688337,-2.05295878318246,-2.27532937494427,-2.16607370176405,-2.58132866893552,-2.80830217684654,-2.32370650272468,-2.43086882602042,-2.59456713003276,-2.58988962429318,-2.98342321600857,-2.04209766376735,-1.48075251833446,-1.66098053826174,-1.94697188918838,-1.7291417158465,-2.1750009649667
2019,-2.91589430784555,-1.96731600801833,-2.19661083215658,-2.50227328604451,-2.63405331606436,-3.26805708696665,-3.32226560399797,-2.38543960809833,-2.58746832798434,-2.85894419092136,-3.04910347290655,-3.6839162705912,-2.51323402549975,-1.5246100745941,-1.79892885358712,-2.15196274889987,-2.21931901628557,-2.85398937456843
2020,-2.70051405714454,-1.94575350994977,-1.96223568468244,-2.39486158844369,-2.16235682839573,-2.6083688123963,-3.11361922573909,-2.41714795127269,-2.38331488262587,-2.75734153005604,-2.58916962311502,-3.05468369384973,-2.28189321067866,-1.46108849347403,-1.5407252265688,-2.02321907270005,-1.72341895121383,-2.15613399296176
2021,-2.93003283075536,-1.77136008181314,-2.27979876959464,-2.51334553371603,-2.41369683147393,-2.25565268643901,-3.37412981539134,-2.26732400677892,-2.68942532146368,-2.88097447091,-2.84862252091617,-2.72516946182384,-2.48918892545195,-1.25962905796684,-1.85111735832181,-2.15322194401666,-1.95164024474164,-1.78435363599718
