"year,""EW_median"",""FR_median"",""IC_SW_median"",""IR_median"",""NI_FB_median"",""NI_FO_median"",""SC_EA_median"",""SC_WE_median"",""EW_q5"",""FR_q5"",""IC_SW_q5"",""IR_q5"",""NI_FB_q5"",""NI_FO_q5"",""SC_EA_q5"",""SC_WE_q5"",""EW_q95"",""FR_q95"",""IC_SW_q95"",""IR_q95"",""NI_FB_q95"",""NI_FO_q95"",""SC_EA_q95"",""SC_WE_q95"""
1996,-2.4334989925948,-2.51209992253061,-2.13090012491514,-1.66335030804055,-1.60331881066285,-1.85476004963943,-2.28848544241372,-2.2985042663303,-2.85015963283294,-2.97823835563352,-2.55147399923803,-2.10187341096038,-2.03824128590937,-2.28121982345072,-2.6828970463752,-2.69739284302793,-2.02250489222048,-2.05357725415128,-1.71470633084504,-1.21185271431393,-1.14271873890162,-1.40950643796868,-1.88444673156439,-1.89516328884027
1997,-2.29275467733294,-2.20660118435115,-1.82245451368849,-1.52209381135946,-1.04542794533653,-1.17348575834187,-2.20944234444631,-2.2062775388215,-2.71691588920322,-2.6606272192594,-2.24531539685737,-1.96713605407103,-1.50238286032857,-1.64600195856936,-2.60388542581285,-2.59907550803022,-1.86697696208175,-1.73676834782714,-1.37093270406274,-1.06323378093717,-0.544404971032763,-0.660531466703986,-1.81402117294186,-1.81134181805073
1998,-2.3908126905729,-2.22085792317877,-2.15345031711,-1.48634371512399,-1.66244283062356,-1.77144277157929,-2.35223767747094,-2.24620376425364,-2.7818138291574,-2.64731138649797,-2.5440386004723,-1.90652010509832,-2.08944367243323,-2.19856550511557,-2.72841744298879,-2.61816786543799,-1.99146666156839,-1.79675517757776,-1.75496688371413,-1.06310555169795,-1.21711144904387,-1.34453691280483,-1.98270006347931,-1.87072311737296
1999,-2.15467999576752,-1.90792632317704,-2.0064532190484,-1.43003298658623,-1.65825223638927,-1.57644863013264,-2.19346092462852,-2.02918282503726,-2.54697662717678,-2.31944769317692,-2.41435150893244,-1.84836390783742,-2.06486056669522,-1.99839667422222,-2.5783877017254,-2.40713435181878,-1.75541098018052,-1.48281892089627,-1.58964224811507,-0.988739540080094,-1.22398099548699,-1.13528411637737,-1.81448191751715,-1.65013730104278
2000,-2.21243964593827,-1.94342401242131,-2.13969155263827,-1.52979230869439,-2.04537087417174,-2.08027683927918,-2.24062856182075,-2.01669010141648,-2.6349798660663,-2.41014925206888,-2.59016597964491,-1.97963166875672,-2.46587980855279,-2.52854746678638,-2.64610470497195,-2.41818328611126,-1.78161291549533,-1.45858223405977,-1.71201412492127,-1.07997318891279,-1.61000904310178,-1.6249249145301,-1.83813421799184,-1.61875585854346
2001,-2.06433493315934,-1.70893790162768,-1.73183378439913,-1.66129042379841,-2.21799926012488,-1.61492391718896,-2.09758374306,-1.92284589704787,-2.47922802736134,-2.14724056263413,-2.15865882732344,-2.08961597508757,-2.67930607310369,-2.07030171278971,-2.505852934182,-2.30448853815884,-1.64458775880827,-1.23829345636095,-1.30221098369467,-1.22351829886145,-1.775153424284,-1.14831466477826,-1.71282425380205,-1.53063769230005
2002,-2.17059968484673,-1.6559415991074,-1.7936364130761,-1.89071496155149,-2.04427694429457,-1.50269633299445,-2.08614511052079,-1.86383899022561,-2.58791331035449,-2.08629903109478,-2.22056108426256,-2.30513571103196,-2.43493789021784,-1.93552997701052,-2.47645048155822,-2.23737258094844,-1.75204828658285,-1.19462181299751,-1.35471688129459,-1.46186120066571,-1.63166109833232,-1.0557615862696,-1.68517238116084,-1.46981724353043
2003,-2.16474204513394,-1.83435110169234,-1.45323892800837,-2.09643323869203,-1.75971738542207,-1.5683272246582,-2.02587150775393,-1.8008772615354,-2.57500128659734,-2.25188806489897,-1.86711211132749,-2.50024889749639,-2.1732913900197,-1.98908334862503,-2.40367028334645,-2.1817529946049,-1.75595275375829,-1.39195716052972,-1.00837737523651,-1.6941742896034,-1.33775635787873,-1.12223874527112,-1.63510758607238,-1.40509119607341
2004,-2.20675881719555,-1.95458927969494,-1.39063092563998,-2.23172976891978,-1.73951071178335,-1.57264180863404,-1.99697462024128,-1.75711000015516,-2.60294160459099,-2.36763032837177,-1.80610891975525,-2.62647674316931,-2.14227927163197,-1.96990318343234,-2.37434512926055,-2.13917293769367,-1.79542619352625,-1.51393358815952,-0.950674933530292,-1.84047331868843,-1.32966917192368,-1.13921150681466,-1.61056034249862,-1.36775363672995
2005,-2.26316379849751,-2.13961246576008,-1.38964826014904,-2.3672083505238,-1.77024348808982,-1.89654776795002,-2.06277730428378,-1.80341710299723,-2.67021494158838,-2.56192850821737,-1.79754061546901,-2.76586135429885,-2.17360054645417,-2.32607163905128,-2.44217277242853,-2.18377734380191,-1.86317281592384,-1.7060220387331,-0.949552400768564,-1.97956144685775,-1.36108166611878,-1.45899431109855,-1.67801305708284,-1.41149162758618
